Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,17381.37,17579.58,17381.37,17558.73,28175800
2010-01-05,17555.77,17728.03,17555.77,17686.24,27002412
2010-01-06,17719.47,17790.33,17637.53,17701.13,21455710
2010-01-07,17701.97,17727.62,17569.06,17615.72,17962044
2010-01-08,17603.87,17647.08,17511.26,17540.29,17299140
2010-01-11,17724.59,17724.59,17503.24,17526.71,18488664
2010-01-12,17536.8,17610.97,17393.93,17422.51,18648812
2010-01-13,17368.03,17526.08,17276.46,17509.8,26102630
2010-01-14,17525.71,17627.57,17525.71,17584.87,23334850
2010-01-15,17604.31,17638.18,17529.11,17554.3,17663196
2010-01-18,17554.3,17712.5,17506.4,17641.08,15479782
2010-01-19,17650.82,17661.9,17464.56,17486.06,13463823
2010-01-20,17486.69,17588.95,17426.1,17474.49,16904096
2010-01-21,17474.49,17474.49,17025.26,17051.14,17243248
2010-01-22,16978.36,16999.46,16608.68,16859.68,23267256
2010-01-25,16847.7,16876.75,16706.4,16780.46,16363029
2010-01-27,16708.6,16708.6,16230.85,16289.82,25573710
2010-01-28,16393.52,16523.43,16183.52,16306.87,21637588
2010-01-29,16253.82,16389.23,15982.33,16357.96,25329344
2010-02-01,16339.32,16421.14,16162.34,16356.03,20065076
2010-02-02,16368.44,16525.98,16130.27,16163.44,20575004
2010-02-03,16210.25,16552.86,16210.25,16496.05,16346996
2010-02-04,16500.29,16500.29,16190.96,16224.95,15785169
2010-02-05,16222.56,16222.56,15725.43,15790.93,23013960
2010-02-08,15954.27,16061.22,15653.17,15935.61,26689260
2010-02-09,15937.59,16094.13,15863.8,16042.18,21166330
2010-02-10,16042.18,16140.82,15892.49,15922.17,19808576
2010-02-11,15928.28,16202.33,15928.28,16152.59,14362568
2010-02-15,16186.9,16219.17,16014.3,16038.35,17045988
2010-02-16,16042.18,16310.39,16021.29,16226.68,20500860
2010-02-17,16228.91,16480.89,16228.91,16428.91,19576386
2010-02-18,16421.2,16434.12,16288.32,16327.84,13972072
2010-02-19,16256.53,16301.14,16074.65,16191.63,19360576
2010-02-22,16191.32,16422.55,16191.32,16237.05,14037125
2010-02-23,16213.14,16324.74,16183.14,16286.32,13445836
2010-02-24,16229.27,16328.12,16191.36,16255.97,12321053
2010-02-25,16264.1,16325.59,16167.88,16254.2,12193226
2010-02-26,16255.33,16666.15,16255.33,16429.55,30931190
2010-03-02,16438.45,16808.49,16438.45,16772.56,22325268
2010-03-03,16778.29,17012.58,16778.29,17000.01,20063916
2010-03-04,17013.68,17013.68,16888.58,16971.7,18947388
2010-03-05,16988.29,17097.71,16938.13,16994.49,19653508
2010-03-08,17034.92,17186.06,17034.92,17102.6,15208132
2010-03-09,17081.69,17130.83,17033.24,17052.54,56514828
2010-03-10,17072.94,17183.1,17032.28,17098.33,16892600
2010-03-11,17087.63,17214.88,17054.46,17167.96,11467511
2010-03-12,17176.02,17244.26,17127.06,17166.62,24015758
2010-03-15,17166.97,17195.49,17061.92,17164.99,14257056
2010-03-16,17169.84,17416.55,17150.16,17383.18,12360273
2010-03-17,17389.47,17576.2,17389.47,17490.08,16738963
2010-03-18,17492.81,17546.95,17417.88,17519.26,13637858
2010-03-19,17531.47,17600.43,17502.48,17578.23,13786253
2010-03-22,17481.96,17558.83,17345.32,17410.57,12185940
2010-03-23,17422.51,17528.9,17357.57,17451.02,12671260
2010-03-25,17458.51,17574.51,17383.82,17558.85,13886429
2010-03-26,17458.51,17681.41,17458.51,17644.76,13064675
2010-03-29,17639.18,17791.92,17639.18,17711.35,14721223
2010-03-30,17703.67,17782.57,17560.54,17590.17,12562097
2010-03-31,17602.39,17698.98,17488.55,17527.77,13547872
2010-04-01,17555.04,17705.21,17555.04,17692.62,12992843
2010-04-05,17783.67,17947.78,17767.61,17935.68,12796667
2010-04-06,17959.53,17990.64,17898.47,17941.37,12414412
2010-04-07,17915.6,18046.45,17879.33,17970.02,13239917
2010-04-08,17950.56,17960.66,17679.41,17714.4,11760026
2010-04-09,17715.16,17970.61,17715.16,17933.14,12160665
2010-04-12,17874.16,17993.37,17817.41,17853,9876430
2010-04-13,17831.38,17861.27,17738.52,17821.96,12738679
2010-04-15,17804.55,17974.84,17619.02,17639.26,12654301
2010-04-16,17645.91,17663.35,17529.57,17591.18,11661699
2010-04-19,17584.86,17584.86,17277.17,17400.68,11776849
2010-04-20,17394.68,17559.62,17394.68,17460.58,14001064
2010-04-21,17458.76,17565.47,17447.01,17472.56,10044910
2010-04-22,17476.48,17777.98,17408.92,17573.99,17586130
2010-04-23,17533.88,17725.31,17533.88,17694.2,17150028
2010-04-26,17692.26,17824.69,17692.26,17745.28,14711923
2010-04-27,17740.03,17769.16,17678.56,17690.62,12196162
2010-04-28,17643.59,17643.59,17344.58,17380.08,17000204
2010-04-29,17382.09,17532.82,17382.09,17503.47,10889057
2010-04-30,17503.47,17646.61,17503.47,17558.71,12140316
2010-05-03,17536.86,17536.86,17346.55,17386.08,10370790
2010-05-04,17371.75,17460.74,17103.29,17137.14,19802088
2010-05-05,17103.95,17119.73,16858.76,17087.96,20067428
2010-05-06,17080.47,17080.47,16823.6,16987.53,16444390
2010-05-07,16939.58,16939.58,16684.13,16769.11,19352164
2010-05-10,16799.49,17356.54,16799.49,17330.55,19720188
2010-05-11,17336.13,17345.18,17106.81,17141.53,20339420
2010-05-12,17141.53,17252.13,17028.08,17195.81,18400824
2010-05-13,17323.63,17389.15,17241.15,17265.87,17933512
2010-05-14,17267.25,17329.32,16924.04,16994.6,15132165
2010-05-17,16961.92,16961.92,16553.19,16835.56,20335684
2010-05-18,16840.59,16999.31,16744.17,16875.76,16779358
2010-05-19,16802.39,16802.39,16376.54,16408.49,22116378
2010-05-20,16419.1,16616.78,16419.1,16519.68,19487316
2010-05-21,16317.94,16485.11,16193.37,16445.61,24283808
2010-05-24,16445.61,16756.71,16414.42,16469.55,22263128
2010-05-25,16444.57,16444.57,15962.04,16022.48,21609842
2010-05-26,16022.48,16409.13,16022.48,16387.84,18465212
2010-05-27,16387.84,16694.31,16333.88,16666.4,19007412
2010-05-28,16666.4,16889.8,16666.4,16863.06,19443106
2010-05-31,16863.06,16970.11,16807.47,16944.63,15549639
2010-06-01,16944.63,16944.63,16544.38,16572.03,20508192
2010-06-02,16572.03,16773.55,16571.45,16741.84,28980694
2010-06-03,16741.84,17072.48,16741.84,17022.33,21809690
2010-06-04,17022.33,17135.74,16965.33,17117.69,22406854
2010-06-07,17117.69,17117.69,16689.41,16781.07,26022260
2010-06-08,16781.07,16894.53,16561.89,16617.1,27333248
2010-06-09,16617.1,16816.62,16594.43,16657.89,36650376
2010-06-10,16657.89,16940.29,16657.89,16922.08,24736104
2010-06-11,16922.08,17131.26,16922.08,17064.95,24674944
2010-06-14,17064.95,17351.18,17064.95,17338.17,17409394
2010-06-15,17338.17,17441.61,17249.93,17412.83,22311180
2010-06-16,17512.04,17524.64,17407.74,17462.87,27404740
2010-06-17,17462.87,17647.37,17394.9,17616.69,25340948
2010-06-18,17616.69,17721.21,17527.68,17570.82,24023502
2010-06-21,17570.82,17919.62,17570.82,17876.55,26277040
2010-06-22,17876.55,17876.55,17726.5,17749.69,15273265
2010-06-23,17749.69,17782.13,17629.19,17755.94,17622000
2010-06-24,17755.94,17838.31,17633.68,17730.24,15591625
2010-06-25,17730.24,17730.24,17547.41,17574.53,19265656
2010-06-28,17574.53,17794.29,17574.53,17774.26,19104868
2010-06-29,17774.26,17774.26,17523.63,17534.09,19153516
2010-06-30,17534.09,17722.29,17377.85,17700.9,18267798
2010-07-01,17700.9,17700.9,17455.84,17509.33,16244377
2010-07-02,17509.33,17598.81,17426.78,17460.95,17217592
2010-07-05,17460.95,17505.73,17423.74,17441.44,7754543
2010-07-06,17441.44,17643.14,17403.55,17614.48,15679831
2010-07-07,17614.48,17619.12,17447.9,17471.03,15165344
2010-07-08,17471.03,17728.21,17471.03,17651.73,14128108
2010-07-09,17651.73,17857.58,17651.73,17833.54,25936356
2010-07-12,17833.54,17997.53,17833.54,17937.2,16175046
2010-07-13,17937.2,17997.32,17856.18,17985.9,16957252
2010-07-14,18024.95,18165.96,17898.32,17938.16,16825500
2010-07-15,17874.71,17977.13,17858.96,17909.46,11779022
2010-07-16,17911.13,17979.28,17892.16,17955.82,13257183
2010-07-19,17914.12,18004.35,17856.4,17928.42,11779848
2010-07-20,17928.42,18040.17,17848.58,17878.14,11666464
2010-07-21,17878.14,17999,17878.14,17977.23,12994682
